Id,Title,Location,Salary,Summary
ac84c38e5a9d9cf1,프론트앤드 개발자,공공의주방 성남 분당구,,"CSS, Javascript(최소 ES5), React 기본 지식 보유... 기타: - HTML(5), CSS, Javascript(최소 ES5), React 기본 지식 보유 - Javascript MV* 프레임웍 기반 웹앱..."
5e4b8294f628f52f,(주)코디얼 서비스사업부,코디얼 서울,,"CSS,javascript(ES6 이상), React 기본 지식 보유... React 기본 지식 보유 - javascript MV* 프레임워크 지식 보유 [경력직 요건] - 협업 솔루션 개발 3년 이상 - React..."
cc52175e8b9b1963,[TmaxAI/R&D] HyperChatbot 웹 퍼블리셔 신입 및 경력,티맥스소프트 성남 분당구,,"와 CSS-in-JS 사용 - Git 및 형상관리 사용 우대사항 - JavaScript 및 ES6 - React를 활용한 SPA 개발 경험 - Webpack, Babel 등을 이용한 프로젝트 환경 구성 경험 - Web UI..."
c3b9a9aefdf9b877,백엔드 개발자,스파이더랩 서울 강남구,,"대한 이해 주문관리시스템, 상품관리, 정산시스템등 비지니스로직에 대한 이해 RDBMS에 대한 기술적 이해 React, Vue등의 라이브러리로 Single Page Application을 구현이 가능하신 분 근무조건 고용형태..."
bbddc35143e60a4c,Cloud Infrastructure Developer,SAP 4.3 서울,,"Learning Experience developing with Front-End frameworks - React, Angular, Vue.js, etc Experience automating operational..."
82314973e84a9762,서울 근무 웹프론트엔드 개발자 및 JAVA 웹개발자 경력직 채용,"회로부품 기구부품 제조업 / 휴대폰 충전기, USB케이블, 파워코드 등 서울",,"초급/중급/PM급까지) • 담당업무 - 웹프론트엔드 • 업무상 자격요건 - JavaScript 프레임웍( React,Vue.js) 사용 경험자 - TypeScript 사용경험자 - 웹퍼블싱&디자인 : html.css 화면..."
09561d8cf346489b,[지도서비스/FE플랫폼팀] 프론트엔드 개발자 모집,카카오 4.0 성남 판교역,,"주도적인 성장이 가능한 분 협업에 어려움이 없으신 분 지원 시 적어주시면 추가로 도움이 되는 내용 React, Vue.js, Angular 등 최신 framework 중 하나 이상을 실무에서 사용한 경험 TypeScript를..."
e9adeee667db927d,"주식회사 알에스기획 web/app 개발기획, react full stac...",알에스기획 서울 서대문구,,"[모바일] - 모바일 관련 프로젝트 경험자 - 사업기획서 작성 가능자 - 제안서 작성 능숙자 [웹디자인 ] - 컴퓨터그래픽스운용기능사, 시각디자인기사 자격증 소지자 우대 - 디자인 관련 전공 및 동종업계 경력자 우대..."
ae705db15a5c09c2,[공통기술부문] 공통 카프카 엔지니어,우아한 형제들 서울 송파구,,"분 - RDB 및 Elasticsearch, Redis 등 다양한 데이터 스토어의 활용 경험이 있으신 분 - React, Vue 등을 이용한 Frontend 개발 경험이 있으신 분 - 주도적으로 시스템을 모니터링하고 성능과..."
164143859b071719,프론트엔드 엔지니어,RIDI Corp 서울,,"개발 React 기반 웹, 모바일, 데스크탑 등 멀티 플랫폼 클라이언트 개발 자격 요건 프론트엔드 개발 경력 3년 이상 React 개발 흐름과 JavaScript에 대한 깊은 이해 React기반 서비스 개발 및 릴리즈..."
8a48c202f69d2877,Front-end 웹/앱 개발자 (병역특례 가능),스마트디아그노시스 서울 마포구,,"Window App 개발 경험 보유 [담당업무] - Android, React(web) 기반의 UI위주의 구현 - Python(PySide2) 기반의... AWS EC2를 이용한 React App 배포 경험 - Android 및..."
